Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3DamFFqW32WihKkTVlwTYQ,"Fireflies","Ocean Eyes","Owl City",2009-01-01,228346,80,false,,2017-11-18T00:59:34Z,"","Universal Records",0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,4
spotify:track:2rm72l5pjfby1cWvPMUojI,"Go the Distance","Hercules (Original Motion Picture Soundtrack)","Roger Bart",1997-01-01,194160,0,false,,2017-11-18T00:59:34Z,"","Walt Disney Records",0.218,0.124,9,-17.112,1,0.0326,0.88,0.00159,0.0845,0.172,86.614,4
spotify:track:6wZI4mdT8JwXgkGURnBQiq,"Say","Say","John Mayer",2006-10-13,230213,61,false,,2017-11-18T00:59:34Z,"singer-songwriter","Columbia",0.485,0.723,10,-6.565,1,0.0317,0.541,0.00000112,0.075,0.541,167.845,4
spotify:track:2tJulUYLDKOg9XrtVkMgcJ,"Grenade","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,222091,79,false,,2017-11-18T00:59:34Z,"","Atlantic Records",0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,4
spotify:track:3GCL1PydwsLodcpv0Ll1ch,"You Belong With Me","Fearless","Taylor Swift",2008-11-11,231133,67,false,,2017-11-18T00:59:34Z,"","Taylor Swift",0.687,0.783,6,-4.44,1,0.0386,0.162,0.0000135,0.114,0.443,129.964,4
spotify:track:1kPpge9JDLpcj15qgrPbYX,"Good Time","The Midsummer Station","Owl City;Carly Rae Jepsen",2012-08-17,205933,77,false,,2017-11-18T00:59:34Z,"","Universal Records",0.56,0.872,3,-4.269,1,0.14,0.0239,0.00000698,0.371,0.682,126.05,4
spotify:track:6rjnRocdCULjLF61x2NR5e,"Don't Stop Believin' - Cover of Journey","Glee: The Music, Volume 1","Glee Cast",2009-11-02,232000,54,false,,2017-11-18T00:59:34Z,"","Columbia",0.473,0.604,7,-4.034,1,0.0337,0.0376,0,0.103,0.271,123.848,4
spotify:track:2zloTpLIF1UtnfFVRl7zKV,"See You Again","See You Again","Kurt Hugo Schneider;Alex Goot",2015-04-26,214124,0,false,,2017-11-18T00:59:34Z,"nightcore,acoustic pop","mudhutdigital.com",0.624,0.632,0,-7.007,0,0.228,0.13,0,0.38,0.657,79.933,4
spotify:track:72jCZdH0Lhg93z6Z4hBjgj,"I Knew You Were Trouble.","Red","Taylor Swift",2012-10-22,217973,74,false,,2017-11-18T00:59:34Z,"","Taylor Swift",0.622,0.469,3,-6.798,0,0.0363,0.00454,0.00000225,0.0398,0.679,77.019,4
spotify:track:7sgZ8o9QQJ3QgA2SkgNhQ6,"Another Sky","The Best of Taro Hakase","Taro Hakase",2013-05-29,333653,0,false,,2017-11-18T00:59:34Z,"japanese classical","HATS UNLIMITED CO., LTD",0.564,0.791,7,-8.017,1,0.0296,0.464,0.46,0.0953,0.469,105.997,4
spotify:track:6YH2r9NyEJTjlRmKOCvxgJ,"We Know The Way","Moana (Original Motion Picture Soundtrack/Deluxe Edition)","Opetaia Foa'i;Lin-Manuel Miranda;Disney",2016-11-18,141413,65,false,,2017-11-18T00:59:34Z,"musicals","Walt Disney Records",0.689,0.578,9,-8.737,1,0.0368,0.36,0,0.11,0.391,98.043,4
spotify:track:5t4B1kAlCD13YY9poph0Mg,"Stitches","Handwritten (Revisited)","Shawn Mendes",2015-11-20,206880,54,false,,2017-11-18T00:59:34Z,"","Island Records",0.594,0.754,1,-6.684,1,0.11,0.0153,0,0.0486,0.74,73.184,4
spotify:track:7xoUc6faLbCqZO6fQEYprd,"One Last Time","My Everything (Deluxe)","Ariana Grande",2014-08-22,197266,86,false,,2017-11-18T00:59:34Z,"pop","Universal Records",0.628,0.593,8,-5.036,1,0.0323,0.093,0.00000165,0.096,0.104,125.025,4
